feature,mean_abs_shap,mean_signed_shap,rank
Video_Swin_Fused_314,0.0,0.0,622
Video_Swin_Fused_315,0.0,0.0,623
Video_Swin_Fused_316,0.0,0.0,624
Video_Swin_Fused_305,0.0,0.0,625
Video_Swin_Fused_366,0.0,0.0,626
Video_Swin_Fused_367,0.0,0.0,627
Video_Swin_Fused_368,0.0,0.0,628
Video_Swin_Fused_369,0.0,0.0,629
Video_Swin_Fused_370,0.0,0.0,630
Video_Swin_Fused_372,0.0,0.0,631
Video_Swin_Fused_373,0.0,0.0,632
Video_Swin_Fused_374,0.0,0.0,633
Video_Swin_Fused_375,0.0,0.0,634
Video_Swin_Fused_376,0.0,0.0,635
Video_Swin_Fused_377,0.0,0.0,636
Video_Swin_Fused_340,0.0,0.0,637
Video_Swin_Fused_379,0.0,0.0,638
Video_Swin_Fused_380,0.0,0.0,639
Video_Swin_Fused_381,0.0,0.0,640
Video_Swin_Fused_382,0.0,0.0,641
Video_Swin_Fused_383,0.0,0.0,642
Video_Swin_Fused_378,0.0,0.0,649
Video_Swin_Fused_341,0.0,0.0,650
Video_Swin_Fused_342,0.0,0.0,651
Video_Swin_Fused_344,0.0,0.0,652
Video_Swin_Fused_345,0.0,0.0,653
Video_Swin_Fused_346,0.0,0.0,654
Video_Swin_Fused_347,0.0,0.0,655
Video_Swin_Fused_348,0.0,0.0,656
Video_Swin_Fused_349,0.0,0.0,657
Video_Swin_Fused_350,0.0,0.0,658
Video_Swin_Fused_351,0.0,0.0,659
Video_Swin_Fused_352,0.0,0.0,660
Video_Swin_Fused_365,0.0,0.0,661
Video_Swin_Fused_354,0.0,0.0,662
Video_Swin_Fused_355,0.0,0.0,663
Video_Swin_Fused_356,0.0,0.0,664
Video_Swin_Fused_357,0.0,0.0,665
Video_Swin_Fused_358,0.0,0.0,666
Video_Swin_Fused_359,0.0,0.0,667
Video_Swin_Fused_360,0.0,0.0,668
Video_Swin_Fused_361,0.0,0.0,669
Video_Swin_Fused_362,0.0,0.0,670
Video_Swin_Fused_363,0.0,0.0,671
Video_Swin_Fused_364,0.0,0.0,672
Video_Swin_Fused_353,0.0,0.0,673
Video_Swin_Fused_218,0.0,0.0,674
Video_Swin_Fused_219,0.0,0.0,675
Video_Swin_Fused_220,0.0,0.0,676
Video_Swin_Fused_221,0.0,0.0,677
Video_Swin_Fused_222,0.0,0.0,678
Video_Swin_Fused_223,0.0,0.0,679
Video_Swin_Fused_224,0.0,0.0,680
Video_Swin_Fused_225,0.0,0.0,681
Video_Swin_Fused_227,0.0,0.0,682
Video_Swin_Fused_228,0.0,0.0,683
Video_Swin_Fused_293,0.0,0.0,684
Video_Swin_Fused_230,0.0,0.0,685
Video_Swin_Fused_231,0.0,0.0,686
Video_Swin_Fused_232,0.0,0.0,687
Video_Swin_Fused_233,0.0,0.0,688
Video_Swin_Fused_234,0.0,0.0,689
Video_Swin_Fused_235,0.0,0.0,690
Video_Swin_Fused_236,0.0,0.0,691
Video_Swin_Fused_237,0.0,0.0,692
Video_Swin_Fused_238,0.0,0.0,693
Video_Swin_Fused_239,0.0,0.0,694
Video_Swin_Fused_240,0.0,0.0,695
Video_Swin_Fused_229,0.0,0.0,696
Video_Swin_Fused_193,0.0,0.0,697
Video_Swin_Fused_194,0.0,0.0,698
Video_Swin_Fused_195,0.0,0.0,699
Video_Swin_Fused_196,0.0,0.0,700
Video_Swin_Fused_197,0.0,0.0,701
Video_Swin_Fused_198,0.0,0.0,702
Video_Swin_Fused_199,0.0,0.0,703
Video_Swin_Fused_200,0.0,0.0,704
Video_Swin_Fused_201,0.0,0.0,705
Video_Swin_Fused_202,0.0,0.0,706
Video_Swin_Fused_203,0.0,0.0,707
Video_Swin_Fused_217,0.0,0.0,708
Video_Swin_Fused_205,0.0,0.0,709
Video_Swin_Fused_206,0.0,0.0,710
Video_Swin_Fused_207,0.0,0.0,711
Video_Swin_Fused_208,0.0,0.0,712
Video_Swin_Fused_209,0.0,0.0,713
Video_Swin_Fused_210,0.0,0.0,714
Video_Swin_Fused_212,0.0,0.0,715
Video_Swin_Fused_213,0.0,0.0,716
Video_Swin_Fused_214,0.0,0.0,717
Video_Swin_Fused_215,0.0,0.0,718
Video_Swin_Fused_216,0.0,0.0,719
Video_Swin_Fused_204,0.0,0.0,720
Video_Swin_Fused_269,0.0,0.0,721
Video_Swin_Fused_270,0.0,0.0,722
Video_Swin_Fused_271,0.0,0.0,723
Video_Swin_Fused_272,0.0,0.0,724
Video_Swin_Fused_273,0.0,0.0,725
Video_Swin_Fused_274,0.0,0.0,726
Video_Swin_Fused_275,0.0,0.0,727
Video_Swin_Fused_276,0.0,0.0,728
Video_Swin_Fused_277,0.0,0.0,729
Video_Swin_Fused_278,0.0,0.0,730
Video_Swin_Fused_279,0.0,0.0,731
Video_Swin_Fused_241,0.0,0.0,732
Video_Swin_Fused_281,0.0,0.0,733
Video_Swin_Fused_282,0.0,0.0,734
Video_Swin_Fused_283,0.0,0.0,735
Video_Swin_Fused_284,0.0,0.0,736
Video_Swin_Fused_285,0.0,0.0,737
Video_Swin_Fused_287,0.0,0.0,738
Video_Swin_Fused_288,0.0,0.0,739
Video_Swin_Fused_289,0.0,0.0,740
Video_Swin_Fused_290,0.0,0.0,741
Video_Swin_Fused_291,0.0,0.0,742
Video_Swin_Fused_292,0.0,0.0,743
Video_Swin_Fused_280,0.0,0.0,744
Video_Swin_Fused_242,0.0,0.0,745
Video_Swin_Fused_243,0.0,0.0,746
Video_Swin_Fused_244,0.0,0.0,747
Video_Swin_Fused_246,0.0,0.0,748
Video_Swin_Fused_248,0.0,0.0,749
Video_Swin_Fused_249,0.0,0.0,750
Video_Swin_Fused_250,0.0,0.0,751
Video_Swin_Fused_252,0.0,0.0,752
Video_Swin_Fused_253,0.0,0.0,753
Video_Swin_Fused_254,0.0,0.0,754
Video_Swin_Fused_255,0.0,0.0,755
Video_Swin_Fused_268,0.0,0.0,756
Video_Swin_Fused_257,0.0,0.0,757
Video_Swin_Fused_258,0.0,0.0,758
Video_Swin_Fused_259,0.0,0.0,759
Video_Swin_Fused_260,0.0,0.0,760
Video_Swin_Fused_261,0.0,0.0,761
Video_Swin_Fused_262,0.0,0.0,762
Video_Swin_Fused_263,0.0,0.0,763
Video_Swin_Fused_264,0.0,0.0,764
Video_Swin_Fused_265,0.0,0.0,765
Video_Swin_Fused_266,0.0,0.0,766
Video_Swin_Fused_267,0.0,0.0,767
Video_Swin_Fused_256,0.0,0.0,768
