sample_index,temporal_index,height_index,width_index,importance
1,0,0,0,0.8972623944282532
1,0,0,1,0.9479173421859741
1,0,0,2,0.8922363519668579
1,0,0,3,0.6249484419822693
1,0,0,4,0.8362746238708496
1,0,0,5,0.4280816316604614
1,0,0,6,0.439860075712204
1,0,0,7,0.9088913798332214
1,0,0,8,0.9382509589195251
1,0,0,9,0.9414095282554626
1,0,0,10,0.9208003282546997
1,0,0,11,0.8689212799072266
1,0,0,12,0.874142050743103
1,0,0,13,0.36497944593429565
1,0,1,0,0.9301169514656067
1,0,1,1,0.9615817070007324
1,0,1,2,0.9134712219238281
1,0,1,3,0.8755854368209839
1,0,1,4,0.9141577482223511
1,0,1,5,0.8652697801589966
1,0,1,6,0.4608798921108246
1,0,1,7,0.8951196074485779
1,0,1,8,0.8882040977478027
1,0,1,9,0.9017088413238525
1,0,1,10,0.9467447996139526
1,0,1,11,0.911971926689148
1,0,1,12,0.9600504040718079
1,0,1,13,0.8524792790412903
1,0,2,0,0.8744433522224426
1,0,2,1,0.865270733833313
1,0,2,2,0.9337068796157837
1,0,2,3,0.9659166932106018
1,0,2,4,0.9190553426742554
1,0,2,5,0.9120755791664124
1,0,2,6,0.34818413853645325
1,0,2,7,0.8828269243240356
1,0,2,8,0.9459342956542969
1,0,2,9,0.9688816666603088
1,0,2,10,0.8884616494178772
1,0,2,11,0.8625038266181946
1,0,2,12,0.887895941734314
1,0,2,13,0.9509888887405396
1,0,3,0,0.8847169876098633
1,0,3,1,0.9172949194908142
1,0,3,2,0.9392113089561462
1,0,3,3,0.8383650183677673
1,0,3,4,0.9174020886421204
1,0,3,5,0.8702178001403809
1,0,3,6,0.829595685005188
1,0,3,7,0.44146278500556946
1,0,3,8,0.7040389776229858
1,0,3,9,0.33954375982284546
1,0,3,10,0.4305702745914459
1,0,3,11,0.8241626024246216
1,0,3,12,0.4309583902359009
1,0,3,13,0.440457820892334
1,0,4,0,0.9050069451332092
1,0,4,1,1.0
1,0,4,2,0.9266763925552368
1,0,4,3,0.48159143328666687
1,0,4,4,0.8987122774124146
1,0,4,5,0.8709007501602173
1,0,4,6,0.3659036457538605
1,0,4,7,0.8772300481796265
1,0,4,8,0.9543164968490601
1,0,4,9,0.8767582178115845
1,0,4,10,0.7801302671432495
1,0,4,11,0.9054344892501831
1,0,4,12,0.8514597415924072
1,0,4,13,0.3837844133377075
1,0,5,0,0.8862296938896179
1,0,5,1,0.9042444825172424
1,0,5,2,0.8936930298805237
1,0,5,3,0.9086676836013794
1,0,5,4,0.8983877301216125
1,0,5,5,0.9536157250404358
1,0,5,6,0.3900364935398102
1,0,5,7,0.3899219036102295
1,0,5,8,0.8630456328392029
1,0,5,9,0.527858555316925
1,0,5,10,0.40787169337272644
1,0,5,11,0.9004523754119873
1,0,5,12,0.9043102860450745
1,0,5,13,0.35258224606513977
1,0,6,0,0.8239499926567078
1,0,6,1,0.8680940270423889
1,0,6,2,0.4351167678833008
1,0,6,3,0.9054939150810242
1,0,6,4,0.9040614366531372
1,0,6,5,0.8947461843490601
1,0,6,6,0.9412076473236084
1,0,6,7,0.5324982404708862
1,0,6,8,0.8757675886154175
1,0,6,9,0.8922404646873474
1,0,6,10,0.6770332455635071
1,0,6,11,0.9332569241523743
1,0,6,12,0.873241662979126
1,0,6,13,0.8281543850898743
1,1,0,0,0.31766635179519653
1,1,0,1,0.38927844166755676
1,1,0,2,0.325537770986557
1,1,0,3,0.882282018661499
1,1,0,4,0.8264060020446777
1,1,0,5,0.4348958432674408
1,1,0,6,0.44439396262168884
1,1,0,7,0.8256692886352539
1,1,0,8,0.9779993891716003
1,1,0,9,0.9473264813423157
1,1,0,10,0.8628585934638977
1,1,0,11,0.879648745059967
1,1,0,12,0.8634757399559021
1,1,0,13,0.3484116494655609
1,1,1,0,0.8522932529449463
1,1,1,1,0.9548597931861877
1,1,1,2,0.8853893876075745
1,1,1,3,0.8917221426963806
1,1,1,4,0.8928690552711487
1,1,1,5,0.8518468737602234
1,1,1,6,0.36915814876556396
1,1,1,7,0.5982212424278259
1,1,1,8,0.9134536981582642
1,1,1,9,0.8804513812065125
1,1,1,10,0.8353728652000427
1,1,1,11,0.8852917551994324
1,1,1,12,0.9385077357292175
1,1,1,13,0.32718542218208313
1,1,2,0,0.36929258704185486
1,1,2,1,0.9482062458992004
1,1,2,2,0.8445630669593811
1,1,2,3,0.8534315228462219
1,1,2,4,0.9041746854782104
1,1,2,5,0.9186452031135559
1,1,2,6,0.3750702738761902
1,1,2,7,0.5833326578140259
1,1,2,8,0.4905196726322174
1,1,2,9,0.2927401661872864
1,1,2,10,0.8631022572517395
1,1,2,11,0.9326030611991882
1,1,2,12,0.8294037580490112
1,1,2,13,0.45461294054985046
1,1,3,0,0.29425159096717834
1,1,3,1,0.8248562812805176
1,1,3,2,0.8007324934005737
1,1,3,3,0.36049342155456543
1,1,3,4,0.921351969242096
1,1,3,5,0.8826082348823547
1,1,3,6,0.8158605098724365
1,1,3,7,0.3255806267261505
1,1,3,8,0.6963119506835938
1,1,3,9,0.3359236419200897
1,1,3,10,0.8663516640663147
1,1,3,11,0.8307681679725647
1,1,3,12,0.4366253614425659
1,1,3,13,0.43187475204467773
1,1,4,0,0.8765469789505005
1,1,4,1,0.9549341201782227
1,1,4,2,0.9389982223510742
1,1,4,3,0.7889918684959412
1,1,4,4,0.869134247303009
1,1,4,5,0.8539501428604126
1,1,4,6,0.34466785192489624
1,1,4,7,0.8535353541374207
1,1,4,8,0.9625963568687439
1,1,4,9,0.9109678864479065
1,1,4,10,0.9029167294502258
1,1,4,11,0.889003336429596
1,1,4,12,0.8537346124649048
1,1,4,13,0.3637901246547699
1,1,5,0,0.8555176854133606
1,1,5,1,0.8770949244499207
1,1,5,2,0.8896880745887756
1,1,5,3,0.849393367767334
1,1,5,4,0.8728956580162048
