epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_tpr,train_fpr,train_auroc,train_time,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_tpr,val_fpr,val_auroc,val_time
1,1.1954032995531128,0.49382716049382713,0.5362318840579711,0.8043478260869565,0.6434782608695652,0.8043478260869565,0.9142857142857143,0.4503105590062112,203.77125072479248,0.6344764100180732,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,1.0,1.0,0.8125,43.055094480514526
2,1.0514170566435765,0.5925925925925926,0.5822784810126582,1.0,0.736,1.0,0.9428571428571428,0.6304347826086957,73.39781999588013,0.5498953043586678,0.7222222222222222,0.6923076923076923,0.9,0.782608695652174,0.9,0.5,0.8374999999999999,15.929352521896362
3,0.6763907341375648,0.7283950617283951,0.7608695652173914,0.7608695652173914,0.7608695652173914,0.7608695652173914,0.3142857142857143,0.7981366459627329,72.91701340675354,0.7901043836674135,0.7777777777777778,0.875,0.7,0.7777777777777778,0.7,0.125,0.825,15.77579665184021
4,0.39145035105814907,0.8765432098765432,0.875,0.9130434782608695,0.8936170212765957,0.9130434782608695,0.17142857142857143,0.9453416149068323,72.79591107368469,1.1060883379347313,0.7777777777777778,0.875,0.7,0.7777777777777778,0.7,0.125,0.8375,15.70950984954834
5,0.3335342360701754,0.9259259259259259,0.9545454545454546,0.9130434782608695,0.9333333333333333,0.9130434782608695,0.05714285714285714,0.9577639751552794,73.75448560714722,1.277803819768855,0.7777777777777778,0.875,0.7,0.7777777777777778,0.7,0.125,0.8124999999999999,16.01312565803528
6,0.21274391138555343,0.9506172839506173,0.9375,0.9782608695652174,0.9574468085106383,0.9782608695652174,0.08571428571428572,0.9801242236024844,73.8265061378479,1.5474856728429183,0.7222222222222222,0.8571428571428571,0.6,0.7058823529411765,0.6,0.125,0.8125,16.103265523910522
7,0.11232533447665771,0.9753086419753086,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.02857142857142857,0.9968944099378882,73.52075958251953,1.76906976772524,0.6111111111111112,0.6153846153846154,0.8,0.6956521739130435,0.8,0.625,0.7125,16.239387035369873
8,0.08859264330322607,0.9753086419753086,0.9583333333333334,1.0,0.9787234042553191,1.0,0.05714285714285714,0.9987577639751553,73.47429633140564,1.7992638374336012,0.7222222222222222,1.0,0.5,0.6666666666666666,0.5,0.0,0.7875,15.598542928695679
9,0.0017050040220550008,1.0,1.0,1.0,1.0,1.0,0.0,1.0,72.48624873161316,2.046829551912702,0.6111111111111112,0.6666666666666666,0.6,0.631578947368421,0.6,0.375,0.7625,15.547511339187622
10,0.0005797866153757858,1.0,1.0,1.0,1.0,1.0,0.0,1.0,72.40693187713623,2.0457184434635565,0.6111111111111112,0.6363636363636364,0.7,0.6666666666666666,0.7,0.5,0.7625,15.543228149414062
