Split,Accuracy,Precision,Recall,F1,TPR,FPR,AUROC,TN,FP,FN,TP,Loss,Training_Time_sec,Validation_Time_sec,Testing_Time_sec
Train,0.9876543209876543,0.9787234042553191,1.0,0.989247311827957,1.0,0.02857142857142857,1.0,34,1,0,46,0.21980877338012086,7.9357335567474365,,
Validation,0.6666666666666666,0.75,0.6,0.6666666666666666,0.6,0.25,0.775,6,2,4,6,0.5388592731652717,,0.0,
Test,0.7222222222222222,0.7777777777777778,0.7,0.7368421052631579,0.7,0.25,0.7375,6,2,3,7,0.5581166463561996,,,0.0010187625885009766
