Configuration,Accuracy,Precision,Recall,F1,TPR,FPR,AUROC,Loss,Best_Val_AUROC,Training_Time_sec,Validation_Time_sec,XGBoost_Training_Time_sec,Testing_Time_sec,Representation_Dim,TN,FP,FN,TP
A1 - Without Video,0.6111111111111112,0.6363636363636364,0.7,0.6666666666666666,0.7,0.5,0.675,0.6482675590001186,0.6625000000000001,3.575101852416992,0.051163673400878906,0.05911064147949219,0.0010635852813720703,128,4,4,3,7
A2 - Without Audio,0.5555555555555556,0.6,0.6,0.6,0.6,0.5,0.6625,0.6900295536942103,0.8375,3.887742519378662,0.059656620025634766,0.02619767189025879,0.0008175373077392578,128,4,4,4,6
A3 - Without Cross-Attention,0.6111111111111112,0.6666666666666666,0.6,0.631578947368421,0.6,0.375,0.7125000000000001,0.6247262556746132,0.8125,3.8269054889678955,0.054617881774902344,0.040544986724853516,0.0007662773132324219,256,5,3,4,6
A4 - Complete Hybrid + Softmax,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,1.0,1.0,0.675,0.6673892819288851,0.925,6.604148864746094,0.09723162651062012,0.0,0.0010576248168945312,256,0,8,0,10
A5 - Complete Hybrid + XGBoost,0.7222222222222222,0.7777777777777778,0.7,0.7368421052631579,0.7,0.25,0.8625,0.46564379728082983,0.8374999999999999,6.264622211456299,0.09520697593688965,0.04268002510070801,0.0012371540069580078,256,6,2,3,7
