class,class_label,feature,mean_abs_shap,mean_signed_shap
Control,0,Video_Swin_Fused_202,0.0,0.0
Control,0,Video_Swin_Fused_203,0.0,0.0
Control,0,Video_Swin_Fused_204,0.0,0.0
Control,0,Video_Swin_Fused_205,0.0,0.0
Control,0,Video_Swin_Fused_206,0.0,0.0
Control,0,Video_Swin_Fused_207,0.0,0.0
Control,0,Video_Swin_Fused_208,0.0,0.0
Control,0,Video_Swin_Fused_209,0.0,0.0
Control,0,Video_Swin_Fused_210,0.0,0.0
Control,0,Video_Swin_Fused_211,0.05631493777036667,0.05631493777036667
Control,0,Video_Swin_Fused_212,0.0,0.0
Control,0,Video_Swin_Fused_213,0.0,0.0
Control,0,Video_Swin_Fused_214,0.0,0.0
Control,0,Video_Swin_Fused_215,0.0,0.0
Control,0,Video_Swin_Fused_216,0.0,0.0
Control,0,Video_Swin_Fused_217,0.0,0.0
Control,0,Video_Swin_Fused_218,0.0,0.0
Control,0,Video_Swin_Fused_219,0.0,0.0
Control,0,Video_Swin_Fused_220,0.0,0.0
Control,0,Video_Swin_Fused_221,0.0,0.0
Control,0,Video_Swin_Fused_222,0.0,0.0
Control,0,Video_Swin_Fused_223,0.0,0.0
Control,0,Video_Swin_Fused_224,0.0,0.0
Control,0,Video_Swin_Fused_225,0.0,0.0
Control,0,Video_Swin_Fused_226,0.10745517909526825,-0.043893903493881226
Control,0,Video_Swin_Fused_227,0.0,0.0
Control,0,Video_Swin_Fused_228,0.0,0.0
Control,0,Video_Swin_Fused_229,0.0,0.0
Control,0,Video_Swin_Fused_230,0.0,0.0
Control,0,Video_Swin_Fused_231,0.0,0.0
Control,0,Video_Swin_Fused_232,0.0,0.0
Control,0,Video_Swin_Fused_233,0.0,0.0
Control,0,Video_Swin_Fused_234,0.0,0.0
Control,0,Video_Swin_Fused_235,0.0,0.0
Control,0,Video_Swin_Fused_236,0.0,0.0
Control,0,Video_Swin_Fused_237,0.0,0.0
Control,0,Video_Swin_Fused_238,0.0,0.0
Control,0,Video_Swin_Fused_239,0.0,0.0
Control,0,Video_Swin_Fused_240,0.0,0.0
Control,0,Video_Swin_Fused_241,0.0,0.0
Control,0,Video_Swin_Fused_242,0.0,0.0
Control,0,Video_Swin_Fused_243,0.0,0.0
Control,0,Video_Swin_Fused_244,0.0,0.0
Control,0,Video_Swin_Fused_245,0.11394843459129333,-0.10818308591842651
Control,0,Video_Swin_Fused_246,0.0,0.0
Control,0,Video_Swin_Fused_247,0.22227266430854797,-0.11949083209037781
Control,0,Video_Swin_Fused_248,0.0,0.0
Control,0,Video_Swin_Fused_249,0.0,0.0
Control,0,Video_Swin_Fused_250,0.0,0.0
Control,0,Video_Swin_Fused_251,0.06673969328403473,0.049416400492191315
Control,0,Video_Swin_Fused_252,0.0,0.0
Control,0,Video_Swin_Fused_253,0.0,0.0
Control,0,Video_Swin_Fused_254,0.0,0.0
Control,0,Video_Swin_Fused_255,0.0,0.0
Control,0,Video_Swin_Fused_256,0.0,0.0
Control,0,Video_Swin_Fused_257,0.0,0.0
Control,0,Video_Swin_Fused_258,0.0,0.0
Control,0,Video_Swin_Fused_259,0.0,0.0
Control,0,Video_Swin_Fused_260,0.0,0.0
Control,0,Video_Swin_Fused_261,0.0,0.0
Control,0,Video_Swin_Fused_262,0.0,0.0
Control,0,Video_Swin_Fused_263,0.0,0.0
Control,0,Video_Swin_Fused_264,0.0,0.0
Control,0,Video_Swin_Fused_265,0.0,0.0
Control,0,Video_Swin_Fused_266,0.0,0.0
Control,0,Video_Swin_Fused_267,0.0,0.0
Control,0,Video_Swin_Fused_268,0.0,0.0
Control,0,Video_Swin_Fused_269,0.0,0.0
Control,0,Video_Swin_Fused_270,0.0,0.0
Control,0,Video_Swin_Fused_271,0.0,0.0
Control,0,Video_Swin_Fused_272,0.0,0.0
Control,0,Video_Swin_Fused_273,0.0,0.0
Control,0,Video_Swin_Fused_274,0.0,0.0
Control,0,Video_Swin_Fused_275,0.0,0.0
Control,0,Video_Swin_Fused_276,0.0,0.0
Control,0,Video_Swin_Fused_277,0.0,0.0
Control,0,Video_Swin_Fused_278,0.0,0.0
Control,0,Video_Swin_Fused_279,0.0,0.0
Control,0,Video_Swin_Fused_280,0.0,0.0
Control,0,Video_Swin_Fused_281,0.0,0.0
Control,0,Video_Swin_Fused_282,0.0,0.0
Control,0,Video_Swin_Fused_283,0.0,0.0
Control,0,Video_Swin_Fused_284,0.0,0.0
Control,0,Video_Swin_Fused_285,0.0,0.0
Control,0,Video_Swin_Fused_286,0.32083606719970703,0.24000033736228943
Control,0,Video_Swin_Fused_287,0.0,0.0
Control,0,Video_Swin_Fused_288,0.0,0.0
Control,0,Video_Swin_Fused_289,0.0,0.0
Control,0,Video_Swin_Fused_290,0.0,0.0
Control,0,Video_Swin_Fused_291,0.0,0.0
Control,0,Video_Swin_Fused_292,0.0,0.0
Control,0,Video_Swin_Fused_293,0.0,0.0
Control,0,Video_Swin_Fused_294,0.0,0.0
Control,0,Video_Swin_Fused_295,0.0,0.0
Control,0,Video_Swin_Fused_296,0.0,0.0
Control,0,Video_Swin_Fused_297,0.0,0.0
Control,0,Video_Swin_Fused_298,0.0,0.0
Control,0,Video_Swin_Fused_299,0.0,0.0
Control,0,Video_Swin_Fused_300,0.0,0.0
Control,0,Video_Swin_Fused_301,0.0,0.0
Control,0,Video_Swin_Fused_302,0.0,0.0
Control,0,Video_Swin_Fused_303,0.0,0.0
Control,0,Video_Swin_Fused_304,0.0,0.0
Control,0,Video_Swin_Fused_305,0.0,0.0
Control,0,Video_Swin_Fused_306,0.0,0.0
Control,0,Video_Swin_Fused_307,0.0,0.0
Control,0,Video_Swin_Fused_308,0.0,0.0
Control,0,Video_Swin_Fused_309,0.0,0.0
Control,0,Video_Swin_Fused_310,0.0,0.0
Control,0,Video_Swin_Fused_311,0.0,0.0
Control,0,Video_Swin_Fused_312,0.0,0.0
Control,0,Video_Swin_Fused_313,0.0,0.0
Control,0,Video_Swin_Fused_314,0.0,0.0
Control,0,Video_Swin_Fused_315,0.0,0.0
Control,0,Video_Swin_Fused_316,0.0,0.0
Control,0,Video_Swin_Fused_317,0.0,0.0
Control,0,Video_Swin_Fused_318,0.0,0.0
Control,0,Video_Swin_Fused_319,0.0,0.0
Control,0,Video_Swin_Fused_320,0.0,0.0
Control,0,Video_Swin_Fused_321,0.0,0.0
Control,0,Video_Swin_Fused_322,0.0,0.0
Control,0,Video_Swin_Fused_323,0.0,0.0
Control,0,Video_Swin_Fused_324,0.0,0.0
Control,0,Video_Swin_Fused_325,0.0,0.0
Control,0,Video_Swin_Fused_326,0.0,0.0
Control,0,Video_Swin_Fused_327,0.0,0.0
Control,0,Video_Swin_Fused_328,0.0,0.0
Control,0,Video_Swin_Fused_329,0.0,0.0
Control,0,Video_Swin_Fused_330,0.0,0.0
Control,0,Video_Swin_Fused_331,0.0,0.0
Control,0,Video_Swin_Fused_332,0.0,0.0
Control,0,Video_Swin_Fused_333,0.0,0.0
Control,0,Video_Swin_Fused_334,0.0,0.0
Control,0,Video_Swin_Fused_335,0.0,0.0
Control,0,Video_Swin_Fused_336,0.0,0.0
Control,0,Video_Swin_Fused_337,0.0,0.0
Control,0,Video_Swin_Fused_338,0.0,0.0
Control,0,Video_Swin_Fused_339,0.0,0.0
Control,0,Video_Swin_Fused_340,0.0,0.0
Control,0,Video_Swin_Fused_341,0.0,0.0
