feature,mean_abs_shap,class,rank
AST_Fused_023,0.0,Parkinsons,141
AST_Fused_024,0.0,Parkinsons,142
AST_Fused_025,0.0,Parkinsons,143
AST_Fused_026,0.0,Parkinsons,144
AST_Fused_027,0.0,Parkinsons,145
AST_Fused_028,0.0,Parkinsons,146
AST_Fused_029,0.0,Parkinsons,147
AST_Fused_030,0.0,Parkinsons,148
AST_Fused_031,0.0,Parkinsons,149
AST_Fused_020,0.0,Parkinsons,150
AST_Fused_081,0.0,Parkinsons,151
AST_Fused_082,0.0,Parkinsons,152
AST_Fused_083,0.0,Parkinsons,153
AST_Fused_084,0.0,Parkinsons,154
AST_Fused_085,0.0,Parkinsons,155
AST_Fused_086,0.0,Parkinsons,156
AST_Fused_087,0.0,Parkinsons,157
AST_Fused_088,0.0,Parkinsons,158
AST_Fused_089,0.0,Parkinsons,159
AST_Fused_090,0.0,Parkinsons,160
AST_Fused_055,0.0,Parkinsons,161
AST_Fused_092,0.0,Parkinsons,162
AST_Fused_093,0.0,Parkinsons,163
AST_Fused_094,0.0,Parkinsons,164
AST_Fused_095,0.0,Parkinsons,165
AST_Fused_097,0.0,Parkinsons,166
AST_Fused_098,0.0,Parkinsons,167
AST_Fused_099,0.0,Parkinsons,168
AST_Fused_100,0.0,Parkinsons,169
AST_Fused_102,0.0,Parkinsons,170
AST_Fused_103,0.0,Parkinsons,171
AST_Fused_104,0.0,Parkinsons,172
AST_Fused_091,0.0,Parkinsons,173
AST_Fused_056,0.0,Parkinsons,174
AST_Fused_057,0.0,Parkinsons,175
AST_Fused_058,0.0,Parkinsons,176
AST_Fused_059,0.0,Parkinsons,177
AST_Fused_060,0.0,Parkinsons,178
AST_Fused_061,0.0,Parkinsons,179
AST_Fused_062,0.0,Parkinsons,180
AST_Fused_063,0.0,Parkinsons,181
AST_Fused_065,0.0,Parkinsons,182
AST_Fused_066,0.0,Parkinsons,183
AST_Fused_067,0.0,Parkinsons,184
AST_Fused_080,0.0,Parkinsons,185
AST_Fused_069,0.0,Parkinsons,186
AST_Fused_070,0.0,Parkinsons,187
AST_Fused_071,0.0,Parkinsons,188
AST_Fused_072,0.0,Parkinsons,189
AST_Fused_073,0.0,Parkinsons,190
AST_Fused_074,0.0,Parkinsons,191
AST_Fused_075,0.0,Parkinsons,192
AST_Fused_076,0.0,Parkinsons,193
AST_Fused_077,0.0,Parkinsons,194
AST_Fused_078,0.0,Parkinsons,195
AST_Fused_079,0.0,Parkinsons,196
AST_Fused_068,0.0,Parkinsons,197
AST_Fused_312,0.0,Parkinsons,198
AST_Fused_313,0.0,Parkinsons,199
AST_Fused_314,0.0,Parkinsons,200
AST_Fused_315,0.0,Parkinsons,201
AST_Fused_316,0.0,Parkinsons,202
AST_Fused_317,0.0,Parkinsons,203
AST_Fused_318,0.0,Parkinsons,204
AST_Fused_319,0.0,Parkinsons,205
AST_Fused_320,0.0,Parkinsons,206
AST_Fused_321,0.0,Parkinsons,207
AST_Fused_322,0.0,Parkinsons,208
AST_Fused_192,0.0,Parkinsons,209
AST_Fused_324,0.0,Parkinsons,210
AST_Fused_325,0.0,Parkinsons,211
AST_Fused_326,0.0,Parkinsons,212
AST_Fused_327,0.0,Parkinsons,213
AST_Fused_328,0.0,Parkinsons,214
AST_Fused_329,0.0,Parkinsons,215
AST_Fused_330,0.0,Parkinsons,216
AST_Fused_331,0.0,Parkinsons,217
AST_Fused_332,0.0,Parkinsons,218
AST_Fused_333,0.0,Parkinsons,219
AST_Fused_334,0.0,Parkinsons,220
AST_Fused_323,0.0,Parkinsons,221
AST_Fused_288,0.0,Parkinsons,222
AST_Fused_289,0.0,Parkinsons,223
AST_Fused_290,0.0,Parkinsons,224
AST_Fused_291,0.0,Parkinsons,225
AST_Fused_292,0.0,Parkinsons,226
AST_Fused_293,0.0,Parkinsons,227
AST_Fused_294,0.0,Parkinsons,228
AST_Fused_295,0.0,Parkinsons,229
AST_Fused_296,0.0,Parkinsons,230
AST_Fused_297,0.0,Parkinsons,231
AST_Fused_298,0.0,Parkinsons,232
AST_Fused_311,0.0,Parkinsons,233
AST_Fused_300,0.0,Parkinsons,234
AST_Fused_301,0.0,Parkinsons,235
AST_Fused_302,0.0,Parkinsons,236
AST_Fused_303,0.0,Parkinsons,237
AST_Fused_304,0.0,Parkinsons,238
AST_Fused_305,0.0,Parkinsons,239
AST_Fused_306,0.0,Parkinsons,240
AST_Fused_307,0.0,Parkinsons,241
AST_Fused_308,0.0,Parkinsons,242
AST_Fused_309,0.0,Parkinsons,243
AST_Fused_310,0.0,Parkinsons,244
AST_Fused_299,0.0,Parkinsons,245
AST_Fused_360,0.0,Parkinsons,246
AST_Fused_361,0.0,Parkinsons,247
AST_Fused_362,0.0,Parkinsons,248
AST_Fused_363,0.0,Parkinsons,249
AST_Fused_364,0.0,Parkinsons,250
AST_Fused_365,0.0,Parkinsons,251
AST_Fused_366,0.0,Parkinsons,252
AST_Fused_367,0.0,Parkinsons,253
AST_Fused_368,0.0,Parkinsons,254
AST_Fused_369,0.0,Parkinsons,255
AST_Fused_371,0.0,Parkinsons,256
AST_Fused_335,0.0,Parkinsons,257
AST_Fused_373,0.0,Parkinsons,258
AST_Fused_374,0.0,Parkinsons,259
AST_Fused_375,0.0,Parkinsons,260
AST_Fused_376,0.0,Parkinsons,261
AST_Fused_377,0.0,Parkinsons,262
AST_Fused_378,0.0,Parkinsons,263
AST_Fused_379,0.0,Parkinsons,264
AST_Fused_380,0.0,Parkinsons,265
AST_Fused_381,0.0,Parkinsons,266
AST_Fused_382,0.0,Parkinsons,267
AST_Fused_383,0.0,Parkinsons,268
AST_Fused_372,0.0,Parkinsons,269
AST_Fused_336,0.0,Parkinsons,270
AST_Fused_337,0.0,Parkinsons,271
AST_Fused_338,0.0,Parkinsons,272
AST_Fused_339,0.0,Parkinsons,273
AST_Fused_340,0.0,Parkinsons,274
AST_Fused_341,0.0,Parkinsons,275
AST_Fused_342,0.0,Parkinsons,276
AST_Fused_343,0.0,Parkinsons,277
AST_Fused_344,0.0,Parkinsons,278
AST_Fused_345,0.0,Parkinsons,279
AST_Fused_346,0.0,Parkinsons,280
AST_Fused_359,0.0,Parkinsons,281
AST_Fused_348,0.0,Parkinsons,282
AST_Fused_349,0.0,Parkinsons,283
AST_Fused_350,0.0,Parkinsons,284
AST_Fused_351,0.0,Parkinsons,285
AST_Fused_352,0.0,Parkinsons,286
AST_Fused_353,0.0,Parkinsons,287
AST_Fused_354,0.0,Parkinsons,288
AST_Fused_355,0.0,Parkinsons,289
AST_Fused_356,0.0,Parkinsons,290
AST_Fused_357,0.0,Parkinsons,291
AST_Fused_358,0.0,Parkinsons,292
AST_Fused_347,0.0,Parkinsons,293
AST_Fused_216,0.0,Parkinsons,294
AST_Fused_217,0.0,Parkinsons,295
AST_Fused_218,0.0,Parkinsons,296
AST_Fused_219,0.0,Parkinsons,297
AST_Fused_220,0.0,Parkinsons,298
AST_Fused_221,0.0,Parkinsons,299
AST_Fused_222,0.0,Parkinsons,300
AST_Fused_223,0.0,Parkinsons,301
AST_Fused_224,0.0,Parkinsons,302
AST_Fused_225,0.0,Parkinsons,303
AST_Fused_226,0.0,Parkinsons,304
AST_Fused_287,0.0,Parkinsons,305
AST_Fused_228,0.0,Parkinsons,306
