model,accuracy_mean,accuracy_sd,accuracy_mean_sd,precision_mean,precision_sd,precision_mean_sd,recall_mean,recall_sd,recall_mean_sd,f1_mean,f1_sd,f1_mean_sd,tpr_mean,tpr_sd,tpr_mean_sd,fpr_mean,fpr_sd,fpr_mean_sd,auroc_mean,auroc_sd,auroc_mean_sd,loss_mean,loss_sd,loss_mean_sd
Softmax,0.5444444444444445,0.07243558228002941,0.5444 ± 0.0724,0.7844444444444444,0.20391235105696823,0.7844 ± 0.2039,0.42000000000000004,0.408656334834051,0.4200 ± 0.4087,0.4171228771228771,0.2697391643925087,0.4171 ± 0.2697,0.42000000000000004,0.408656334834051,0.4200 ± 0.4087,0.3,0.42019340784929027,0.3000 ± 0.4202,0.765,0.052589209919906565,0.7650 ± 0.0526,0.7738152710763448,0.13054800811449305,0.7738 ± 0.1305
XGBoost,0.711111111111111,0.12044157438154889,0.7111 ± 0.1204,0.7672727272727273,0.050758706455067776,0.7673 ± 0.0508,0.6799999999999999,0.24899799195977468,0.6800 ± 0.2490,0.7019047619047618,0.17617760570752022,0.7019 ± 0.1762,0.6799999999999999,0.24899799195977468,0.6800 ± 0.2490,0.25,0.08838834764831845,0.2500 ± 0.0884,0.7025,0.1466820541170596,0.7025 ± 0.1467,0.632408796765646,0.12056384899001606,0.6324 ± 0.1206
